column,description,type_field,fill_number,not_fill_number,num_uniq_values,conlcusion,conlcusion2
school,"аббревиатура школы, в которой учится ученик",,,,,В столбце school встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,Категориальный признак. Пустых строчек нет - данные по этому столбцу полные и без выбросов. Всего два значения и более 88% принадлежит одному из них.
sex,"пол ученика ('F' - женский, 'M' - мужской)",,,,,В столбце sex встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"Категориальный признак не содержащий пропусков и имеющий только два уникальных значения, распределенных практичеки поровну. Данные по этому столбцу полные и без выбросов."
age,возраст ученика (от 15 до 22),,,,,В столбце age встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"по полученным данным видим, что у нас в основном учащиеся младшего возраста, практически все до 20 лет. Это хорошо - цель нашего исследования определить на ранней стадии проблемы с обучением. Также видим, что математика определила нам два выброса, хотя исходя из описания данных видно, что выбросов нет - это корректные данные, поэтому мы их оставляем."
address,"тип адреса ученика ('U' - городской, 'R' - за городом)",,,,,В столбце address встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"Выбросов нет, но были пропуски - они заполнены релевантными данными. Из последнего графика видно, что ученики стараются идти в школу GP вне зависимости от места проживания. С чем это может быть связано нам не известно, но как правило родители стремятся отдать детей в самую лучшую по их возможностям школу."
famsize,"размер семьи('LE3' <= 3, 'GT3' >3)",,,,,В столбце famsize встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,Около 72% учеников живут в большой семье (трое и более членов семьи). Пропуски заполнили.
pstatus,статус совместного жилья родителей ('T' - живут вместе 'A' - раздельно),,,,,В столбце pstatus встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,Признак категориальный. 45 пропущенныех значений заполнено. 12.4% учеников живут в неполной семье.
medu,"образование матери (0 - нет, 1 - 4 класса, 2 - 5-9 классы, 3 - среднее специальное или 11 классов, 4 - высшее)",,,,,В столбце medu встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"По полученным данным видим, что выбросов нет. Более половины мам имеют среднее специальное или высшее образование"
fedu,"образование отца (0 - нет, 1 - 4 класса, 2 - 5-9 классы, 3 - среднее специальное или 11 классов, 4 - высшее)",,,,,В столбце fedu встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"Найденный выброс исправлен, отсутствующие значения заполнены. Для более простого анализа по семье введем новый признак - среднее образование матери и отца, которое будет показывать средний уровень образования обоих родителей."
mjob,"работа матери ('teacher' - учитель, 'health' - сфера здравоохранения, 'services' - гос служба, 'at_home' - не работает, 'other' - другое)",,,,,В столбце mjob встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"Обнаружено 19 незаполненных строчек. Заполнили их значением ""other"""
fjob,"работа отца ('teacher' - учитель, 'health' - сфера здравоохранения, 'services' - гос служба, 'at_home' - не работает, 'other' - другое)",,,,,В столбце fjob встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"36 незаполненных строчек - заполнено значением ""other"". Аналогично полю ""mjob"" - чаще всего встречается ответ other."
reason,"причина выбора школы ('home' - близость к дому, 'reputation' - репутация школы, 'course' - образовательная программа, 'other' - другое)",,,,,В столбце reason встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"17 незаполненных строчек... Интересно, что большинство выбрали школу из-за программы обучения. Поскольку здесь мы не можем определить как лучше заполнить отсутствующие значения - заполним их значением ""other"""
guardian,"опекун ('mother' - мать, 'father' - отец, 'other' - другое)",,,,,В столбце guardian встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"31 незаполненная строчка - чаще всего опекуном является мать, поэтому заполним пропуски значением ""mother"""
traveltime,"время в пути до школы (1 - <15 мин., 2 - 15-30 мин., 3 - 30-60 мин., 4 - >60 мин.)",,,,,В столбце traveltime встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"по полученным данным видим, что выбросов и пропуски заполнены (хотя математика нам говорит, что выбросы есть - но это не так). Более 85% учеников живут в пешей доступности."
studytime,"время на учёбу помимо школы в неделю (1 - <2 часов, 2 - 2-5 часов, 3 - 5-10 часов, 4 - >10 часов)",,,,,В столбце studytime встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"по полученным данным видим, что выбров и пропусков нет (заполнили 2). Похоже, что здесь есть взаимосвязь с предыдущим столбцом traveltime, тк ученики меньше тратят времени на попадание домой и у них остаётся больше времени на учебу дома."
failures,"количество внеучебных неудач (n, если 1<=n<=3, иначе 0)",,,,,В столбце failures встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"по полученным данным видим, что выбросов данных нет, 7 пропусков мы заполнили. (интересно, что функция по расчету выбросов отработала не корректно. скорее всего это из-за отсутствия разнообразия данных - у нас практически все значения равны нулю). Единственное, что здесь получается противоречивые данные - ""0"" означенает, что ошибок либо ноль, либо больше 3...Это потенциально столбец на удаление из сэта, так он нас только запутывает, но решим это позднее."
schoolsup,дополнительная образовательная поддержка (yes или no),,,,,В столбце schoolsup встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"84.8% не получают дополнительной образовательной поддержки, это либо все умные ребята, либо они не говорят правду.Поскольку самое часто встречающееся значение ""no"" - то заполнили им пустые значения."
famsup,семейная образовательная поддержка (yes или no),,,,,В столбце famsup встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"Найдено и заполнено 39 пропусков в данных. 64% получают семейную образовательную поддержку - интересно...те в школе у них нет поддержки, а вот доме - есть."
paid,дополнительные платные занятия по математике (yes или no),,,,,В столбце paid встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"45% берут дополнительные платные занятия по математике...хотя в школе не берут дополнительных занятий, а дома получают гораздо больший процент. Пропуски заполнили по соответствию с полем medu_fedu_mean."
activities,дополнительные внеучебные занятия (yes или no),,,,,В столбце activities встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"ученики поделились практически поровну по внеучебным занятиям, а вот это может объяснить почему платных занятий по математике берут меньше чем ожидалось - получается, что многие берут допзанятия по другим предметам. Поскольку распределение между посещающими и нет дополнительные внеучебные занятия практически одинаковое воспользуемся случайным генератором для заполнения пропусков в данных."
nursery,посещал детский сад (yes или no),,,,,В столбце nursery встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"Заполнено 16 пропущенных значений, при этом 75.9% ходили в садик - поэтому заполним отсутствующие значения ""yes"""
higher,хочет получить высшее образование (yes или no),,,,,В столбце higher встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"90.1% студентов хотят получить высшее образование. Предварительный вывод по заполнению поля не совсем корректный...((( Учитывая, что только 4.8% не хотят получить - мы можем заполнить отсутсвующие значение ""yes"" - заполнили."
internet,наличие интернета дома (yes или no),,,,,В столбце internet встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"Разброс большой, но получается у 3/4 интернет точно есть. Будем считать и что в пропусках должен стоять ответ ""yes"""
romantic,в романтических отношениях (yes или no),,,,,В столбце romantic встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"31 пропуск сделаем заполнение исходя из возраста ученика. если возвраст меньше 18 - то ставим ""no"", иначе ""yes"""
famrel,семейные отношения (от 1 - очень плохо до 5 - очень хорошо),,,,,В столбце famrel встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"так лучше - выброс заменен на 1,зафиксировали в отдельном столбце факт изменения значения и заполнили пустые значения."
freetime,свободное время после школы (от 1 - очень мало до 5 - очень мого),,,,,В столбце freetime встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"Выбросов нету и пропуски заполнены. Здесь всё хорошо. По самим данным - ученики оценивают, что у них достаточно много свободного времени. (от 3 до 5 ответили - 76.8%)"
goout,проведение времени с друзьями (от 1 - очень мало до 5 - очень много),,,,,В столбце goout встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"Выбросов нету. Пропуски заполнены. По самим данным - ученики оценивают, что они много выходят (от 3 до 5 ответили - 67.7%), но не так много как имеют свободного времени"
health,текущее состояние здоровья (от 1 - очень плохо до 5 - очень хорошо),,,,,В столбце health встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,Выбросов нет. И учащиеся считают себя здоровыми - это хорошо!
absences,количество пропущенных занятий,,,,,В столбце absences встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,Пропуски и выбросы поменяли на медианное значение.
score,баллы по госэкзамену по математике,,,,,В столбце score встречается  уникальных значений. Число незаполненных строчек - . Надо бы заполнить отсутствующие значения,"Выбросов нет. Судя по оценкам - шкала от 0 до 100 с шагом 5. Судя по распределению оценок - средняя оценка 52, и что удивительно очень много с оценкой 0 - 9.4% (37 учеников). И именно на них надо фокусировать исследование данных, надо найти чем они таким отличаются от остальных, чтобы понять чем им можно помочь."
